profileName,iscedName,mainInstitutionName,levelCode,leadingInstitutionCity,mainInstitutionKind
praktyczny,Muzyka i sztuki sceniczne,Uniwersytet Jagielloński w Krakowie,3,Kraków,Uczelnia publiczna
praktyczny,Muzyka i sztuki sceniczne,Uniwersytet Jagielloński w Krakowie,2,Kraków,Uczelnia publiczna
praktyczny,Medycyna,Uniwersytet Andrzeja Frycza Modrzewskiego w Krakowie,2,Kraków,Uczelnia niepubliczna
ogólnoakademicki,Pielęgnacja włosów i urody,Społeczna Akademia Nauk z siedzibą w Łodzi,3,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,Mechanika i metalurgia,Politechnika Białostocka,2,Białystok,Uczelnia publiczna
ogólnoakademicki,Kształcenie nauczycieli nauczania przedszkolnego,"Powszechna Wyższa Szkoła Humanistyczna ""Pomerania"" w Chojnicach",3,Chojnice,Uczelnia niepubliczna
praktyczny,Inżynieria i zawody inżynieryjne nieokreślone dalej,Uniwersytet w Siedlcach,2,Siedlce,Uczelnia publiczna
ogólnoakademicki,Tworzenie i analiza oprogramowania i aplikacji,Katolicki Uniwersytet Lubelski Jana Pawła II,3,Lublin,Uczelnia kościelna
ogólnoakademicki,Inżynieria chemiczna i procesowa,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,3,Warszawa,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Gdański,2,Gdańsk,Uczelnia publiczna
praktyczny,Psychologia,Wyższa Szkoła Bezpieczeństwa w Poznaniu,3,Poznań,Uczelnia niepubliczna
ogólnoakademicki,Biologia,Uniwersytet Opolski,3,Opole,Uczelnia publiczna
praktyczny,"Interdyscyplinarne programy i kwalifikacje obejmujące nauki przyrodnicze, matematykę i statystykę",Uniwersytet Medyczny w Białymstoku,2,Białystok,Uczelnia publiczna
ogólnoakademicki,Tworzenie i analiza oprogramowania i aplikacji,Uniwersytet Ekonomiczny w Krakowie,2,Kraków,Uczelnia publiczna
praktyczny,"Interdyscyplinarne programy i kwalifikacje obejmujące technikę, przemysł i budownictwo",Europejska Akademia Medycznych i Społecznych Nauk Stosowanych,2,Olsztyn,Uczelnia niepubliczna
ogólnoakademicki,Inżynieria i zawody inżynierskie gdzie indziej niesklasyfikowane,Politechnika Poznańska,2,Poznań,Uczelnia publiczna
ogólnoakademicki,Historia i archeologia,Akademia Finansów i Biznesu Vistula,3,Pułtusk,Uczelnia niepubliczna
ogólnoakademicki,Biologia,Uniwersytet Przyrodniczy we Wrocławiu,2,Wrocław,Uczelnia publiczna
ogólnoakademicki,Chemia,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,3,Lublin,Uczelnia publiczna
praktyczny,Technologie teleinformacyjne nieokreślone dalej,Akademia Wojsk Lądowych imienia generała Tadeusza Kościuszki,2,Wrocław,Uczelnia publiczna
